n_demos,strategy,accuracy,mean_persistent_delta,mean_state_delta,n
n_demos=1,frozen,0.07,0.0,0.0,100
n_demos=1,context,0.17,0.0,0.0,100
n_demos=1,param_tta,0.15,3.963,0.0,100
n_demos=1,state,0.07,0.0,17.341,100
n_demos=1,ttt_state,0.15,0.0,3.963,100
n_demos=2,frozen,0.03,0.0,0.0,100
n_demos=2,context,1.0,0.0,0.0,100
n_demos=2,param_tta,0.29,1.826,0.0,100
n_demos=2,state,1.0,0.0,33.463,100
n_demos=2,ttt_state,0.29,0.0,1.826,100
n_demos=3,frozen,0.08,0.0,0.0,100
n_demos=3,context,1.0,0.0,0.0,100
n_demos=3,param_tta,0.31,1.926,0.0,100
n_demos=3,state,1.0,0.0,48.023,100
n_demos=3,ttt_state,0.31,0.0,1.926,100
n_demos=4,frozen,0.07,0.0,0.0,100
n_demos=4,context,1.0,0.0,0.0,100
n_demos=4,param_tta,0.3,1.998,0.0,100
n_demos=4,state,1.0,0.0,62.649,100
n_demos=4,ttt_state,0.3,0.0,1.998,100
n_demos=6,frozen,0.09,0.0,0.0,100
n_demos=6,context,1.0,0.0,0.0,100
n_demos=6,param_tta,0.26,2.108,0.0,100
n_demos=6,state,1.0,0.0,92.72,100
n_demos=6,ttt_state,0.26,0.0,2.108,100
n_demos=8,frozen,0.09,0.0,0.0,100
n_demos=8,context,1.0,0.0,0.0,100
n_demos=8,param_tta,0.3,2.147,0.0,100
n_demos=8,state,1.0,0.0,124.245,100
n_demos=8,ttt_state,0.3,0.0,2.147,100
