steps,strategy,accuracy,mean_persistent_delta,mean_state_delta,n
steps=0,param_tta,0.07,0.0,0.0,100
steps=0,ttt_state,0.07,0.0,0.0,100
steps=0,state,1.0,0.0,62.649,100
steps=1,param_tta,0.13,1.278,0.0,100
steps=1,ttt_state,0.13,0.0,1.278,100
steps=1,state,1.0,0.0,62.649,100
steps=2,param_tta,0.18,1.355,0.0,100
steps=2,ttt_state,0.18,0.0,1.355,100
steps=2,state,1.0,0.0,62.649,100
steps=4,param_tta,0.24,1.642,0.0,100
steps=4,ttt_state,0.24,0.0,1.642,100
steps=4,state,1.0,0.0,62.649,100
steps=8,param_tta,0.3,1.998,0.0,100
steps=8,ttt_state,0.3,0.0,1.998,100
steps=8,state,1.0,0.0,62.649,100
steps=16,param_tta,0.55,2.43,0.0,100
steps=16,ttt_state,0.55,0.0,2.43,100
steps=16,state,1.0,0.0,62.649,100
